timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1728946014719,30,Cadastrar usuário,201,Created,ServeRest Requisições Post/Put/Delete (Functional Test) 1-1,text,true,,505,335,1,1,http://localhost:3000/usuarios,30,0,1
1728946016779,25,Excluir usuário por ID,200,OK,ServeRest Requisições Post/Put/Delete (Functional Test) 1-1,text,true,,469,224,1,1,http://localhost:3000/usuarios/qu4Gz3A3YS1XdiDH,25,0,0
1728946018883,9,Editar usuário por ID,200,OK,ServeRest Requisições Post/Put/Delete (Functional Test) 1-1,text,true,,468,357,1,1,http://localhost:3000/usuarios/lr9JBQjLmn346B61,9,0,0
1728946020921,7,Cadastrar produto,401,Unauthorized,ServeRest Requisições Post/Put/Delete (Functional Test) 1-1,text,false,,532,340,1,1,http://localhost:3000/produtos,7,0,0
1728946022961,6,Excluir produtos por ID,401,Unauthorized,ServeRest Requisições Post/Put/Delete (Functional Test) 1-1,text,false,,532,262,1,1,http://localhost:3000/produtos/y6AY8c11uREhQZEP,6,0,0
1728946025011,6,Editar produto por ID,401,Unauthorized,ServeRest Requisições Post/Put/Delete (Functional Test) 1-1,text,false,,532,362,1,1,http://localhost:3000/produtos/K6leHdftCeOJj8BJ,5,0,0
1728946027083,6,Cadastrar carrinho,401,Unauthorized,ServeRest Requisições Post/Put/Delete (Functional Test) 1-1,text,false,,532,427,1,1,http://localhost:3000/carrinhos,6,0,0
1728946029185,5,Excluir carrinhos por ID,405,Method Not Allowed,ServeRest Requisições Post/Put/Delete (Functional Test) 1-1,text,false,,586,247,1,1,http://localhost:3000/carrinhos/,5,0,0
1728946031204,5,Editar carrinhos por ID,405,Method Not Allowed,ServeRest Requisições Post/Put/Delete (Functional Test) 1-1,text,false,,600,444,1,1,http://localhost:3000/carrinhos/aFOUqntef4iaOwWfg,5,0,0
